File ID,Code,Kbook ID,Barry,Mislabeled,comma,Library,Path,Filename,Artist,Song
13749,SC8068-01,9902,0,0,1,Sound Choice,SC8000/8050/SC8068,"SC8068-01 - Harper, Ben & The Innocent C - Steal My Kisses","Harper, Ben & The Innocent C",Steal My Kisses
26824,SFKK65-06,9903,0,0,1,Sunfly,SFKK Kool/050/Sunfly Karaoke Kool 65,"SFKK65-06 - Harris, Calvin - Feel So Close","Harris, Calvin",Feel So Close
22912,SF279-01,9904,0,0,1,Sunfly,SF Hits/250/SF 279,"SF279-01 - Harris, Calvin - I'm Not Alone","Harris, Calvin",I'm Not Alone
22988,SF283-15,9905,0,0,1,Sunfly,SF Hits/250/SF 283,"sf283-15 - Harris, Calvin - Ready For The Weekend","Harris, Calvin",Ready For The Weekend
23350,SF305-12,9906,0,0,1,Sunfly,SF Hits/300/SF 305,"SF305-12 - Harris, Calvin & Kelis - Bounce","Harris, Calvin & Kelis",Bounce
23504,SF314-02,9907,0,0,1,Sunfly,SF Hits/300/SF 314,"SF314-02 - Let's Go - Harris, Calvin & Ne-Yo","Harris, Calvin & Ne-yo",Let's Go
26809,SFKK64-07,9908,0,0,1,Sunfly,SFKK Kool/050/Sunfly Karaoke Kool 64,"SFKK64-07 - Harris, Calvin & Rihanna - We Found Love","Harris, Calvin & Rihanna",We Found Love
13601,SC8058-12,9909,0,0,1,Sound Choice,SC8000/8050/SC8058,"SC8058-12 - Harris, Emmylou - Born To Run","Harris, Emmylou",Born To Run
15625,SC8647-01,9910,0,0,1,Sound Choice,SC8000/8600/SC8647,"SC8647-01 - Harris, Emmylou - You Never Can Tell C'est La Vie","Harris, Emmylou",You Never Can Tell C'est La Vie
1437,SC1702-05,9911,0,0,1,Sound Choice,SC1000/1700/SC1702 - Greatest Hits Of All Time Vol 2,"SC1702-05 - Harrison, George - My Sweet Lord","Harrison, George",My Sweet Lord
